key	en	cs-CZ	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Stáhnout nyní	CTA
white_noise	white noise	bílý šum	Standard cs-CZ term
brown_noise	brown noise	hnědý šum	
sleep_sounds	sleep sounds	spánkové zvuky	Also zvuky na spaní
sound_machine	sleep sound machine	přístroj na spaní	Marketing
offline	offline	offline	Common loanword
privacy_policy	Privacy Policy	Zásady ochrany osobních údajů	Apple cs-CZ legal term
terms_of_service	Terms of Service	Podmínky použití	
freemium	freemium	bezplatná verze	Explain prémiové funkce in body
sleep_timer	sleep timer	časovač spánku	
register	formal vy	vy	Consumer app; vy-form throughout
