key	en	fi-FI	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Lataa nyt	CTA; Apple App Store FI style
white_noise	white noise	valkoinen kohina	Standard fi-FI term in sleep/wellness apps
brown_noise	brown noise	ruskea kohina	
sleep_sounds	sleep sounds	unen äänet	
sound_machine	sleep sound machine	unen äänilaite	Marketing; natural Finnish term
offline	offline	offline	Common in App Store FI
privacy_policy	Privacy Policy	Tietosuojakäytäntö	Apple fi-FI legal term
terms_of_service	Terms of Service	Käyttöehdot	Apple fi-FI
freemium	freemium	ilmainen versio	Explain premium in body; not täysin ilmainen
sleep_timer	sleep timer	uniajastin	
register	informal sinä	sinä	B2C consumer app tone for fi-FI
