key	en	fr-FR	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Télécharger	CTA; Apple App Store FR style
white_noise	white noise	bruit blanc	Standard fr-FR term
brown_noise	brown noise	bruit marron	
sleep_sounds	sleep sounds	sons pour dormir	
sound_machine	sleep sound machine	machine à sons pour dormir	Marketing
offline	offline	hors ligne	Standard fr-FR
privacy_policy	Privacy Policy	Politique de confidentialité	Apple fr-FR legal term
terms_of_service	Terms of Service	Conditions d'utilisation	Apple fr-FR
freemium	freemium	version gratuite	Explain premium in body; not entièrement gratuit
sleep_timer	sleep timer	minuteur de sommeil	
register	informal tu	tu	B2C consumer app tone for fr-FR
