key	en	it-IT	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Scarica	CTA; Apple App Store IT style
white_noise	white noise	rumore bianco	Standard it-IT term
brown_noise	brown noise	rumore marrone	
sleep_sounds	sleep sounds	suoni per dormire	
sound_machine	sleep sound machine	macchina suoni per dormire	Marketing
offline	offline	offline	Common in App Store IT
privacy_policy	Privacy Policy	Informativa sulla privacy	Apple it-IT legal term
terms_of_service	Terms of Service	Termini di utilizzo	Apple it-IT
freemium	freemium	versione gratuita	Explain premium in body; not completamente gratuito
sleep_timer	sleep timer	timer del sonno	
register	informal tu	tu	B2C consumer app tone for it-IT
