key	en	ja	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	今すぐダウンロード	CTA; polite form
white_noise	white noise	ホワイトノイズ	Standard JP term for sleep apps
brown_noise	brown noise	ブラウンノイズ	
sleep_sounds	sleep sounds	睡眠サウンド	
sound_machine	sleep sound machine	睡眠サウンドマシン	Marketing; サウンドマシン also OK
offline	offline	オフライン	Katakana loanword common in App Store JP
privacy_policy	Privacy Policy	プライバシーポリシー	Match Apple/legal JP
terms_of_service	Terms of Service	利用規約	
freemium	freemium	フリーミアム	Explain 基本無料 in body if needed
sleep_timer	sleep timer	睡眠タイマー	
register	polite you (desu/masu)	です・ます	Consumer app tone for ja-JP
