key	en	pt-BR	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Baixar	CTA; Apple App Store BR style
white_noise	white noise	ruído branco	Standard pt-BR term
brown_noise	brown noise	ruído marrom	
sleep_sounds	sleep sounds	sons para dormir	
sound_machine	sleep sound machine	máquina de sons para dormir	Marketing
offline	offline	offline	Common in App Store BR
privacy_policy	Privacy Policy	Política de Privacidade	Apple pt-BR legal term
terms_of_service	Terms of Service	Termos de Uso	Apple pt-BR
freemium	freemium	versão gratuita	Explain premium in body; not completamente grátis
sleep_timer	sleep timer	timer para dormir	
register	você (informal BR)	você	B2C consumer app tone for pt-BR
