key	en	ro-RO	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Descarcă acum	CTA; Apple App Store ro-RO style
white_noise	white noise	zgomot alb	Standard ro-RO term
brown_noise	brown noise	zgomot maro	
sleep_sounds	sleep sounds	sunete de somn	
sound_machine	sleep sound machine	aparat de sunet pentru somn	Marketing
offline	offline	offline	Common in App Store ro-RO
privacy_policy	Privacy Policy	Politica de confidențialitate	Apple ro-RO legal term
terms_of_service	Terms of Service	Termeni și condiții	Apple ro-RO
freemium	freemium	versiune gratuită	Explain premium in body; not complet gratuit
sleep_timer	sleep timer	cronometru de somn	
register	informal tu	tu	B2C consumer app tone for ro-RO
