key	en	th-TH	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	ดาวน์โหลดเลย	CTA
white_noise	white noise	ไวท์นอยส์	Common loanword in TH wellness apps
brown_noise	brown noise	เบราว์นนอยส์	
dark_noise	dark noise	ดาร์กนอยส์	
sleep_sounds	sleep sounds	เสียงช่วยนอนหลับ	
sound_machine	sleep sound machine	เครื่องเล่นเสียงช่วยนอนหลับ	Marketing
offline	offline	ออฟไลน์	Common in App Store TH
privacy_policy	Privacy Policy	นโยบายความเป็นส่วนตัว	Apple th-TH legal term
terms_of_service	Terms of Service	ข้อกำหนดการให้บริการ	Apple th-TH
freemium	freemium	เวอร์ชันฟรี	Explain premium in body
sleep_timer	sleep timer	ตัวจับเวลานอน	
mix_sounds	mix sounds	ผสมเสียง	
register	polite คุณ	คุณ	B2C consumer app; pronounless where natural
free_trial	Free Trial	ทดลองใช้ฟรี	
lifetime_plan	Lifetime Plan	Lifetime Plan	App Store product name; keep EN
