key	en	uk-UA	notes
product_name	DRMN	DRMN	Brand; do not translate
app_store	App Store	App Store	Apple platform term
iphone	iPhone	iPhone	Apple product name
download	Download Now	Завантажити	CTA; Apple uk-UA style
white_noise	white noise	білий шум	Standard uk-UA wellness term
brown_noise	brown noise	коричневий шум	
dark_noise	dark noise	темний шум	
sleep_sounds	sleep sounds	звуки для сну	
sound_machine	sleep sound machine	звукова машина для сну	Marketing
offline	offline	офлайн	Common in App Store uk-UA
privacy_policy	Privacy Policy	Політика конфіденційності	Apple uk-UA legal term
terms_of_service	Terms of Service	Умови використання	Apple uk-UA
freemium	freemium	безкоштовна версія	Explain premium in body
sleep_timer	sleep timer	таймер сну	
mix_sounds	mix sounds	мікш звуків	
register	informal ти	ти	B2C consumer app tone for uk-UA
free_trial	Free Trial	Безкоштовна пробна версія	
lifetime_plan	Lifetime Plan	Lifetime Plan	App Store product name; keep EN
